hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Sukruthi Eye Care Microsurgical Centre,Private,Eye / Ophthalmology,,0.0,0.0,"148, Vyalikval Malleswaram Xi Cross Malleshwaram",Karnataka,Bengaluru Urban,13.0030624,77.5642928
Vijaya Ent Care Centre,Private,Multispecialty / General,,0.0,0.0,"No.1, 9Th Cross, Malleshwaram",Karnataka,Bengaluru Urban,12.9999879,77.5680956
B.M.S. Nursing Home,Private,Multispecialty / General,,0.0,0.0,"88/3, K.R.Road,Basavanagudi",Karnataka,Bengaluru Urban,12.9324008,77.5735369
Bharathi Nursing Home,Private,Multispecialty / General,,0.0,0.0,"#42/77, South End Road, Basavanagudi",Karnataka,Bengaluru Urban,12.9368894,77.5742909
Geetha Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Vani Vilas Road, Basavanagudi",Karnataka,Bengaluru Urban,12.9486453,77.5743261
Gunasheela Surgical and Maternity Hospital,Private,Women & Child,,0.0,0.0,"1,Dewan N, Madhava Rao Road, Basavanagudi",Karnataka,Bengaluru Urban,12.940241,77.576438
Kims Hospital and Research Centre,Private,Multispecialty / General,,0.0,0.0,"K. R. Road, V. V. Puram",Karnataka,Bengaluru Urban,13.0733021,77.7867803
Medikeri's Super Speciality Ent Centre,Private,Multispecialty / General,,0.0,0.0,"9/91,Govindappa Road Cross,R.V.Road",Karnataka,Bengaluru Urban,12.9466558,77.5752895
Popular Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 16, 3Rd Cross, Shankarpuram",Karnataka,Bengaluru Urban,13.063199,80.2235291
"R.R,OrthopedicandSurgical Centre",Private,Ortho / Trauma,,0.0,0.0,"21/1,2Nd Cross Shankara Puram",Karnataka,Bengaluru Urban,13.0001603,77.5411082
Rama Krishna Nursing Home,Private,Multispecialty / General,,0.0,0.0,"806 / 1, 15Th Cross, 3Rd Block Jayanagar",Karnataka,Bengaluru Urban,12.9227076,77.5749764
